subitem,subject,item,transciption
186-20,186,20,the hydrant with the bright something…x
186-4,186,4,the coach for the disc-something athlete was mad at him
186-24,186,24,the camera with the special manual was expensive
186-9,186,9,the butler near the spoiled kids was angry
186-16,186,16,the eraser near the novelty something…x
186-18,186,18,the table by the antique chair was old
186-14,186,14,the caddy near the ch-charismatic golfers was tired
186-3,186,3,the hammer for the rusty nails was old
186-13,186,13,the bicycle by the warped tires broke
186-5,186,5,the tent with the sturdy pole stood well
186-12,186,12,the bodyguard near the nervous jeweler was huge
186-22,186,22,the trainer for the confident actor felt unneeded
186-11,186,11,the banana near the popular sandwich was good
186-17,186,17,the waitress by the impatient something ah took his order
186-7,186,7,the necklace near the colorful feathers was expensive
186-19,186,19,the resort with the elaborate gardens was expensive
186-6,186,6,the dam for the murky river failed
187-8,187,8,the fortress was(sic) the ancient wall with china
187-18,187,18,the table by the antique chairs were old
187-7,187,7,the nicklace(sic)…x
187-6,187,6,the dam on(sic) the murky rivers were huge
187-1,187,1,the envelope on the photo album was new
187-5,187,5,the tent was…x
187-11,187,11,the banana near the popular sandwich was uh new
187-4,187,4,the coach was(sic) the disciplined athletes was amaze-amazing
187-2,187,2,the cake was the can…x
187-10,187,10,the vase near the vibrant…x
187-9,187,9,ah the butler …x
187-23,187,23,the canoe …x
187-12,187,12,the bodyguard near the nervous…x
187-15,187,15,the church near the giant driveway um was newly constructed
187-19,187,19,the resort near…x
187-24,187,24,the camera with the special manuals ah was considered new technology
187-21,187,21,the guitar near the faulty …x
187-20,187,20,the hydrant near the bent house(sic) ah was um interesting
187-22,187,22,the trainers for the confident actors um were quite young
187-13,187,13,the bicycle by …x
187-14,187,14,the candy near the charism…x
187-16,187,16,the easier(sic)…x
187-3,187,3,the hammer for the …x
187-17,187,17,the waitress by the impatient…x
188-12,188,12,the bodyguard for the pool sank
188-8,188,8,the fortress with the ancient walls tumbled
188-24,188,24,the camera by the special lens was working
188-22,188,22,the trainer near the confident boxer yelled
188-13,188,13,the bicycle by the warped baskets was broken
188-2,188,2,the cake with the candy figurines was insane
188-6,188,6,the dam for the musty factory was cracked
188-7,188,7,the necktie(sic) with the colorful diamonds was bright
188-20,188,20,the hydrant near the bent house was exploding
188-16,188,16,the eraser near the novelty pen was almost gone
188-17,188,17,the waitress by the impatient senior was still nice
188-1,188,1,the envelope from the photo albums were old
188-3,188,3,the hammer from the rigid peg for the rigid pegs was large
188-9,188,9,the butler for the selfish millionaires were really nice
188-19,188,19,the resort near the beach was cool
188-11,188,11,the banana for the popular sundae was good
188-18,188,18,the table by the antique lamp was falling over
188-14,188,14,the caddy near the charismatic driver was purple
188-10,188,10,the vase with the vibrant flowers was crystal
188-4,188,4,the coach for the disruptive uh teenagers was angry
188-23,188,23,the canoe near the weathered oar was old
188-15,188,15,the church near the giant driveways was very old
188-5,188,5,the tent with the sturdy cushion was comfortable
188-21,188,21,the guitar near the strings was purple
189-23,189,23,the canoe near the weathered oars broke
189-22,189,22,the trainer near the confident boxers felt jealous
189-6,189,6,the dam for the musty factories was not built correctly
189-17,189,17,the waitress by the impatient seniors was frustrated
189-10,189,10,the vase with the vibrant flowers was painted by van gogh
189-3,189,3,the hammer by the rusty nail was dirty
189-16,189,16,the eraser near the novelty pens cried
189-11,189,11,the banana for the popular sundaes was delicious
189-5,189,5,the tent with the sturdy cushions…um was red
189-2,189,2,the cake by the colored candle um was purple
189-15,189,15,x(preamble not recorded)
189-12,189,12,the bodyguard for the nervous actresses…was very tall
189-1,189,1,the envelope by the formal letter was purple
189-4,189,4,the coach for the disruptive teenagers felt frustrated
189-19,189,19,the resort near the elaborate garden was large and populated
189-8,189,8,the fortress with the ancient farm had many cows
189-14,189,14,the caddy for the charismatic golfer liked caddying for the golfer
189-9,189,9,the butler for the spoiled kid hated his job
189-18,189,18,the table by the antique lamps was broken
189-13,189,13,the bicycle with the warped tire was not able to run very well
189-7,189,7,the necklace with the colorful feather was appreciated by everybody
189-21,189,21,the guitar near the faculty(sic) pedal broke
189-20,189,20,the hydrant near the bright reflector was red
189-24,189,24,the camera by the special lenses was special
190-13,190,13,the bicycle with the warped tires fell apart
190-14,190,14,the caddy from the charismatic golfies(sic) was happy
190-11,190,11,the banana for the popular sandwich was bro-no-disgusting
190-20,190,20,the hydrant with the bright reflections was off
190-4,190,4,the coach near the disciplined athletes always yelled
190-21,190,21,the guitar near the faulty pedals was broken
190-1,190,1,the envelope by the formal letters were formal
190-24,190,24,the camera by the special mammal(sic) was on
190-18,190,18,the table for the antique chair was beautiful
190-3,190,3,the hammer by the rusty nails was rusty
190-19,190,19,the resort near the elaborate gardens was beautiful
190-7,190,7,the necklace with the colorful feathers was strange looking
190-16,190,16,the eraser for the novelty pencil was broken
190-8,190,8,the fortress with the ancient farms was on a hill
190-22,190,22,the trainer near the confident actor was excited
190-5,190,5,the tent near the sturdy pole was broken
190-17,190,17,the waitress for the impatient diner was given a bad tip
190-15,190,15,the church with the giant crosses was very religious
190-10,190,10,the vase with the vibrant cover was colorful
190-2,190,2,the cake by the colored candles was delicious
190-12,190,12,the bodyguard for the nervous gents(sic) was protective
190-9,190,9,the butler for the spoiled kids was angry
190-6,190,6,the dam by the murky river was disgusting
190-23,190,23,the canoe near the weathered flag turned over
191-2,191,2,the cake by the color was disorinated(sic)
191-14,191,14,the caddy for the golfer was good
191-11,191,11,the banana for the popular sundae was excellent
191-10,191,10,the vase with the vibrant flower was very pretty
191-15,191,15,the church with the giant cross was huge
191-7,191,7,the necklace with the colorful f…x
191-21,191,21,the guitar near the pedal was broken
191-16,191,16,the eraser near the pen was very pretty
191-5,191,5,the tent with the sturdy cushions was comfy
191-3,191,3,the hammer by the rusty nail was broken
191-18,191,18,the table by the antique lamp was pretty
191-23,191,23,the canoe with the weathered tour(sic) was broken
191-12,191,12,the bodyguard for the nervous actor was nervous
191-6,191,6,the dam with the musty factory was stinky
191-19,191,19,the resort near the garden was pretty
191-20,191,20,the hydrant near the bright reflector was pretty
191-8,191,8,the fortress near the ancient farm was broken
191-22,191,22,the trainer near the confident boxer won the game
191-17,191,17,the waitress by the impatient sensor die
191-1,191,1,the envelope by the formal letter was seal(sic)
191-4,191,4,the coach with the disruptive teenager was confused
191-24,191,24,the camera by the special lens was amazing to use
191-9,191,9,the butler for the spoiler kid was fired
191-13,191,13,the bicycle with the warped tree was pretty
193-6,193,6,the dam by the musty factories was overflowing
193-20,193,20,the hydrant with the bright reflector shone in the cars headlights
193-4,193,4,the coach near the disruptive teammates told them to be quiet
193-1,193,1,the envelope from the formal letter said to so and so
193-9,193,9,the butler near the spoiled kid almost hit him
193-11,193,11,the banana near the popular sundaes was not a part of the sundae
193-3,193,3,the hammer for the rusty nail did not work
193-8,193,8,the fortress near the ancient farm held alost(sic) of mysterious items
193-15,193,15,the church near the giant cross was for catholics
193-10,193,10,the vase near the vibrant flowers added color
193-22,193,22,the trainer for the confident boxers motivated them
193-13,193,13,the bicycle by the warped tire…was broken
193-5,193,5,the tent near the sturdy cushions was for camping
193-2,193,2,the cake with the colored candle was for the four year olds birthday
193-14,193,14,the caddy near the chari-charismatic golfer did not like the golfer
193-23,193,23,the canoe with the weathered oars was from previous generations in the family
193-19,193,19,the resort with the elaborate garden won a gardening award
193-12,193,12,the bodyguard near the nervous actress was protecting her
193-7,193,7,the necklace near the colorful flowe-feather…drew away from the colors
193-16,193,16,the eraser for the novelty pens did not erase
193-21,193,21,the guitar with the faulty pedal had to be fixed
193-17,193,17,the waitress for the impatient seniors tried her best to serve them as quickly as she could
193-18,193,18,the table for the antique lamps was just as old as the lamp
193-24,193,24,the camera with the special lenses was used to take pictures of the sky
194-22,194,22,the trainer for the confident actor was loud
194-12,194,12,the bodyguard near the nervous jeweler was huge
194-3,194,3,the hammer for the rusty nails was in the is in the cabinet
194-5,194,5,the tent was-with the sturdy pole fell down in the wind
194-2,194,2,the cake with the colored candles was for my birthday
194-7,194,7,the necklace near the colored feathers was beautiful
194-11,194,11,the banana near the popular sandwich was rotted
194-16,194,16,the eraser near the novelty pencil did not work well
194-18,194,18,the table by the antique chair was just as old
194-13,194,13,the bicycle by the warp-pad(sic) tires was rusty and old
194-21,194,21,the guitar with the faulty pedals did not work well
194-10,194,10,the vase near the vibrant cover was beautifully painted
194-24,194,24,the camera with the special manual was difficult to use
194-19,194,19,the resort with the elaborate gardens drew in a lot of tourist
194-6,194,6,the dam for the murky river um produced electricity for the town
194-15,194,15,the church near the giant crosses ah looked old and ah looked old
194-8,194,8,the fortress near the ancient farms was fun to explore
194-9,194,9,the butler near the spoiled kids um decided to quit his job
194-14,194,14,the caddy near the chamis-chamis golfer was not so nice
194-20,194,20,the hydrant with the bright reflectors was right near my house
194-17,194,17,the waitress by the impatient at by the impatient diner quit her job and found a new one
194-1,194,1,the envelope for the formal letters were obtained from the post office
194-4,194,4,the coach for the disciplined athlete was a seasoned veteran
194-23,194,23,the canoe with the watered-with the weathered flag had been used for years
195-4,195,4,the coach for the disciplined athletes was tough
195-16,195,16,the eraser near the novelty …x
195-6,195,6,the dam for the murky rivers was flooded
195-11,195,11,the banana near the popular sandwiches was gone
195-13,195,13,the bicycle by the warped basket ran
195-10,195,10,the vase near the vibrant colors(sic) was lovely
195-17,195,17,the waitress by the impatient diners took their order
195-18,195,18,the table by the antique chairs was fifty dollars
195-24,195,24,the camera with the special manuals was missing
195-20,195,20,the hydrant near the bent hose was red
195-21,195,21,the guitar wi-near the faulty string was broken
195-1,195,1,the envelope from the photo album was checkered
195-8,195,8,the fortress…x
195-19,195,19,the resort near the elongated pool stood ten stories hi-tall
195-9,195,9,the butler for the selfish millionaire killed him for the money
195-15,195,15,the church near the giant driveway was a hundred years old
195-23,195,23,the canoe with the weathered flags was almost broken
195-14,195,14,the caddy near the charistic…x
195-5,195,5,the tent with the sturdy poles is stood through the wind
195-7,195,7,the necklace…x
195-22,195,22,the trainer for the confident actors made money
195-3,195,3,the hammer for the rigid peg was tough
195-2,195,2,the cake with the candy figurine was made of chocolate
195-12,195,12,the bodyguard …x
196-8,196,8,the fortress with the ancient walls was in china
196-5,196,5,the tent with the sturdy cushion was comfortable
196-24,196,24,the camera wi-by the…c
196-1,196,1,the envelope fr-for the photo albums were old
196-6,196,6,the dam for the musty factory was old
196-20,196,20,the hydrant near the bent hoses was old
196-7,196,7,the necklace with the colorful diamonds was expensive
196-10,196,10,the vase with the vibrant flower was old
196-11,196,11,the banana from-for the popular sundae was natural
196-21,196,21,the guitar near the fault …x
196-23,196,23,the canoe near the weathered oar was old
196-17,196,17,the waitress by the impatient senior was unhappy
196-16,196,16,the eraser near the novelty pen was revolutionary
196-4,196,4,the coach for the disruptive …x
196-9,196,9,the butler from th-of the selfish millionaire was paid well
196-19,196,19, …x
196-3,196,3,the hammer for the rigid pegs was heavy
196-13,196,13,the bicycle …x
196-18,196,18,the table by the antique lamp was unique
196-22,196,22,the trainer near the confident boxer was afraid that he would be punched
196-14,196,14,the caddy near the charismatic celebrities was shy
196-15,196,15,the church near the giant driveways always had a lot of attendees
196-2,196,2,the cake with the candy figurines was delicious
196-12,196,12,the bodyguard for the nervous actress was always attentive
197-13,197,13,the bicycle with the warped tire was on the ground
197-24,197,24,the camera by the special lens was over there
197-8,197,8,the fortress with the ancient fence was in ireland
197-4,197,4,the coach for the disruptive teenagers yelled at them
197-3,197,3,the hammer by the rusty nail was on the ground
197-21,197,21,the guitar near the faulty pedal fell over
197-14,197,14,the candy …x
197-12,197,12,the bodyguard for the nervous actress was scared
197-2,197,2,the cake by the colored candles was lit
197-5,197,5,the tent with the sturdy cushions was on the ground
197-19,197,19,the resort near the elaborate garden was booked
197-20,197,20,the hydrant near the bright reflectors caught on fire
197-7,197,7,the necklace with the colorful feather fell apart
197-23,197,23,the canoe near the weathered oars was fine
197-18,197,18,the table by the antique lamps was old
197-9,197,9,the butler for the spoiled kids hated his job
197-10,197,10,the vase with the vibrant flowers was pretty
197-6,197,6,the dam with the musty factories …x
197-1,197,1,the envelope by the formal letter …x
197-22,197,22,the trainer near the confident boxers was …x
197-16,197,16,the erase …x
197-17,197,17,the waitress by the impatient seniors …x
197-11,197,11,the banana for the popular sundaes were gone
197-15,197,15,the church with the giant cross was ok
198-4,198,4,the coach near the disciplined tent walked away
198-24,198,24,the camera by the special manual was on
198-17,198,17,the waitress for the in-impatient diner got paid a lot
198-19,198,19,the resort near the elaborate museum was beautiful
198-12,198,12,the bodyguard for the nervous jeweler was huge
198-16,198,16,the eraser for the novelty pencil was awful
198-8,198,8,the fortress with the ancient farms was rich
198-11,198,11,the banana for the popular sandwich was desired
198-6,198,6,the dam by the murky river broke
198-5,198,5,the tent near the sturdy pole was unstable
198-9,198,9,the butler fro-for the spoiled kids was mean
198-15,198,15,the church with the giant crosses was beautiful
198-23,198,23,the canoe near the weathered flag was broken
198-1,198,1,the envelope by the formal letters was elaborate
198-7,198,7,the necklace with the colorful feathers uh was expensive
198-3,198,3,the hammer by the rusty nails was strong
198-22,198,22,the trainer near the confident actor helped him out
198-20,198,20,the hydrant near the bright reflectors was used often
198-2,198,2,the cake by the colored candles was delicious
198-18,198,18,the table for the antique chair was also antique
198-10,198,10,the vase with the vibrant co-cover was expensive
198-13,198,13,the bicycle with the warped tires was broken
198-21,198,21,the guitar near near the faulty pedals was a antique
198-14,198,14,the caddy for the ch-ah the golfers was a professional
199-4,199,4,the coach near…x
199-2,199,2,the cake by the candy figurine was beautiful
199-10,199,10,the vase with the vibrant covers had glass
199-7,199,7,the necklace near the colorful diamond was long
199-11,199,11,the banana for the…x
199-5,199,5,the tent near the sturdy poles was tall
199-3,199,3,the hammer by the ri-rigid peg was hard
199-23,199,23,the canoe near the weathered flags was red
199-1,199,1,the envelope by the photo album was red
199-22,199,22,the trainer near the confident actors felt bad
199-21,199,21,the guitar with the faulty string played badly
199-9,199,9,the butler near the selfish millionaire was unhappy
199-18,199,18,the table for the antique chairs was broken
199-14,199,14,the caddy for the …x
199-24,199,24,the camera by the special manuals had a film
199-12,199,12,the bodyguard for the nervous jewelers was big
199-13,199,13,the bi-bicycle with the warped basket couldn't hold anything
199-20,199,20,the hydrant with the bent hose couldn't put out the fire
199-19,199,19,the resort with the elongated pool was the best one
199-6,199,6,the dam by the murky rivers was strong
199-16,199,16,the eraser for the novelty pencils was big
199-8,199,8,the fortress near the ancient wall was very large
199-15,199,15,the church with the giant driveway was holy
199-17,199,17,the waitress for the impatient clients…x
200-13,200,13,the bicycle with the warped baskets are weird
200-2,200,2,the cake by the fig-candy figurines are yummy
200-22,200,22,the trainer for the confident boxer is very good
200-15,200,15,the church with the giant driveways are not welcoming
200-11,200,11,the banana near the popular sundae is not good
200-18,200,18,the table for the antique lamp is old
200-8,200,8,the fortress near the ancient walls are in sweden
200-17,200,17,the waitress for the impatient author was very patient
200-4,200,4,the coach near the disruptive teenager was mean
200-21,200,21,the guitar with the faulty strings sounded really bad
200-5,200,5,the tent near the sturdy cushion was not comfortable
200-7,200,7,the necklace near the colorful diamonds…X
200-3,200,3,the hammer by the rigid pegs…X
200-20,200,20,the hydrant with the bent hoses was not useful
200-14,200,14,the caddy for the charismatic celebrities was bad
200-6,200,6,the dam by the musty factory broke down
200-10,200,10,the vase near the vibrant flower broke too
200-24,200,24,the camera with the special lens zoomed quite far
200-23,200,23,the canoe with the weathered oar was floating
200-19,200,19,the resort with the e-elongated pools were nice
200-9,200,9,the butler near the selfish millionaires was not nice
200-12,200,12,the bodyguard near the nervous actress was nervous
200-16,200,16,the eraser for the novelty pen was gone
200-1,200,1,the envelope by the photo albums is has disappeared
201-11,201,11,the banana near the popular stands…X
201-12,201,12,the bodyguard near the…X
201-21,201,21,the guitar with the faulty pedal was broken
201-6,201,6,the dam by the mi-musty factories was leaking
201-19,201,19,the resort with the elaborate garden…was wonderful
201-20,201,20,the hydrant with the bright reflector was distracting
201-17,201,17,the waitress with the impatient seniors left
201-18,201,18,the table for the antique lamps was also antique
201-7,201,7,the necklace near the colorful feather was bright pink
201-3,201,3,h-the hammer for the rusty nail was rusty too
201-10,201,10,the vase near the vibrant flowers was cracked
201-9,201,9,the butler near the spoiled kid rolled his eyes
201-24,201,24,the camera with the special lenses was expensive
201-23,201,23,the canoe with the weathered oars was weathered
201-4,201,4,the coach near the disruptive teenagers left
201-13,201,13,the bicycle by in the warped tire was dangerous
201-8,201,8,the fortress near the enchanted farm was dark
201-14,201,14,the caddy near the charismic(sic) golfer was happy
201-15,201,15,the church near the giant cross was white
201-2,201,2,the cake with the colored candle was ice-cream
201-22,201,22,the trainer for the confident boxers were proud
201-5,201,5,the tent near the sturdy cushions was new
201-16,201,16,the eraser from the novelty pens were blue
201-1,201,1,the envelope for the formal letter was white
202-3,202,3,the hammer and the rusty nails are gross
202-8,202,8,the fortress near the ancient farms is really cool
202-16,202,16,the eraser near the moisty pencil was broken
202-11,202,11,the banana near the popular sandwich was gross
202-22,202,22,the trainer and the confident actor were really nice
202-17,202,17,the waitress by the impatient dear(sic) was really nice
202-1,202,1,the envelope of(sic) the formal letters was unbroken
202-21,202,21,the guitar with the faulty strings sounded bad
202-15,202,15,the church near the giant crosses was catholic
202-23,202,23,the canoe with the weathered flag was broken
202-20,202,20,the hydrant with the high reflections was blinding
202-5,202,5,the tent with the sturdy pole was very sturdy
202-6,202,6,the dam of the murky river was overflowing
202-14,202,14,the caddy near the charismatic golfer was happy
202-19,202,19,the resort with the elaborate beaches was gorgeous
202-10,202,10,the vase near the vibrant cover was beautiful
202-18,202,18,the table with the antique chair looked very old
202-12,202,12,the bodyguard near the nervous jeweler made him nervous
202-4,202,4,the couch(sic) and the disciplined athlete were together
202-13,202,13,the bicycle with warped the tires was broken
202-9,202,9,the butler spoiled kids were great
202-24,202,24,the camera with the special lens took beautiful pictures
202-7,202,7,the necklace with the colorful feathers looked good together
202-2,202,2,the cake with the colored candles was beautiful
203-15,203,15,the church near the giant driveway was beginning to fade
203-4,203,4,the coach for the disciplined athletes was quitting
203-13,203,13,the bicycle by the warped basket rode down the street
203-16,203,16,the eraser near the novelty section disappeared
203-21,203,21,the guitar near the faulty string started to not play
203-20,203,20,the hydrant near the bent house started to explode
203-10,203,10,the vase near the vibrant covers started to break
203-2,203,2,the cake with the candy figurine was eaten instantly
203-6,203,6,the dam for the murky rivers d-was not working anymore
203-8,203,8,the fortress with the ancient wall started to crumble
203-1,203,1,the envelope for the photo album was found under the drawer
203-5,203,5,the tent with the sturdy poles did not fall through the night
203-22,203,22,the trainer for the confident actors received a large salary
203-24,203,24,the camera with the special manuals cost a lot of money
203-14,203,14,the caddy near the charismatic celebrity was smart
203-18,203,18,the table by the antique chairs was beginning to rust
203-9,203,9,the butler from-t-for the selfish millionaire received not a lot of money
203-3,203,3,the hammer for the rigid peg started to break
203-11,203,11,the banana near the popular sandwiches beginning began to ripen
203-7,203,7,the necklace with the colorful diamond was beautiful
203-23,203,23,the canoe with the weathered flings(sic) w-rode down the street
203-17,203,17,the waitress by the enti-patient(sic) diners got frustrated easily
203-19,203,19,the resort near the elongated pool was beautiful
203-12,203,12,the bodyguard near the new-nervous jewelers stood his ground
204-22,204,22,the trainer near the confident boxer gave advice
204-24,204,24,the camera by the special lens uh….X
204-21,204,21,the guitar near the facult(sic) strings oh near the faulty strings…X
204-15,204,15,the church near the giant driveways had a lot of people in it
204-6,204,6,the dam for the musty factory didn't work
204-11,204,11,the banana for the popular sundae was rotten
204-20,204,20,the hydrant near the bent hoses wasn't working
204-12,204,12,the bodyguard for the nervous actress was strong
204-16,204,16,the eraser near the novelty pen had ink on it
204-17,204,17,the waitress by the impatient senior didn't get a tip
204-9,204,9,the butler for the selfish million-millionaires didn't get paid
204-2,204,2,the cake with the candy figurines was eaten by the woman
204-8,204,8,the fortress with the ancient walls crumbled
204-10,204,10,the vase with the vibrant flower broke
204-4,204,4,the coach for the disrus….X
204-3,204,3,the hammer for the rigid pegs um was left at home
204-1,204,1,the envelope for the photo albums was yellow
204-23,204,23,the canoe near the weathered oar was rotten
204-18,204,18,the table by the antique lamp was painted red
204-5,204,5,the tent with the sturdy cushion um was used by campers
204-13,204,13,the bicycle by the warped baskets were raw-rusting
204-19,204,19,the resort near the en…X
204-14,204,14,the caddy near the charismatic celebrities got paid well
204-7,204,7,the necktie with the colorful diamonds was worn by the actress
205-14,205,14,the caddy for the charismic(sic) golfer was slow
205-16,205,16,the erasier(sic) near the novelty pens was nearly as interesting
205-17,205,17,the waitress by the impatient seniors got hungry
205-24,205,24,the camera why(sic) the special lens took better pictures
205-1,205,1,the envelope by the formal letter was written in a funny font
205-13,205,13,the bicycle with the warped tire is sitting in Alex's apartment
205-8,205,8,the fortress with the ancient farm was very old
205-21,205,21,the guitar near the faulty pedal didn't play music nearly as well as the guitar not near the faulty pedal
205-6,205,6,the dam for the musty factories was hoping it worked well
205-11,205,11,the banana for the popular sundaes was all out so they had to resort to strawberries
205-18,205,18,the table by the antique lamps was just as old
205-9,205,9,the butler for the spoiled kid was tired of buying cracker jacks
205-4,205,4,the coach for the disruptive teenagers made them all jump through those weird tires that…
205-20,205,20,the hydrant near the bright reflector was a favorite attraction of local dogs
205-3,205,3,the hammer by the rusty nail didn't work nearly as well
205-19,205,19,the resort near the elaborate garden was a beautiful place for pictures
205-12,205,12,the bodyguard for the nervous actress wasn't nearly as nervous
205-10,205,10,the vase with the vibrant flowers deserved being painted
205-22,205,22,the trainer near the confident boxers was glad they had listened
205-7,205,7,the necklace with the colorful feather was a strange choice of fashion
205-15,205,15,the church with the giant cross was an eyesore to all the locals
205-23,205,23,the canoe near the weathered oars was due for a paddling
205-2,205,2,by the-the cake by the colored candle wasss melting in the sunlight
205-5,205,5,the tent with the sturdy cushions was red
206-2,206,2,the cake by the colored candles was for her birthday
206-14,206,14,the caddy for the charismatic golfers was slow
206-20,206,20,the hydrant near the bright reflectors was red
206-5,206,5,the tent near the sturdy pole was big
206-10,206,10,the vase with the vibrant cover was pretty
206-1,206,1,the envelope by the formal letters were sent to the post office
206-4,206,4,the coach near the disciplined athlete was demanding
206-24,206,24,the camera by the special manual was…X
206-16,206,16,the eraser for the novelty pencil was broken
206-17,206,17,the waitress for the impatient diner was slow
206-18,206,18,the table for the antique chair was also old
206-3,206,3,the hammer by the rusty nails is also old
206-11,206,11,the banana for the popular sandwich was fresh
206-8,206,8,the fortress with the ancient farms was old
206-12,206,12,the bodyguard for the nervous jeweler was big
206-15,206,15,the church with the giant crosses was old
206-23,206,23,the canoe near the weathered flag was wet and long
206-13,206,13,the bicycle with the warped tires was old
206-21,206,21,the guitar near the faulty pedals was a fender
206-9,206,9,the butler for his spoiled kids were was annoyed
206-7,206,7,the necklace with the colorful feathers was pretty
206-19,206,19,the resort near the elaborate gardens was beautiful
206-6,206,6,the dam by the murky river was about to break
206-22,206,22,the trainer near the confident actor was also confident
207-12,207,12,the bodyguard for the nervous jetters was crazy
207-21,207,21,the guitar with the faulty string wouldn't play
207-15,207,15,the church with the giant driveway was very fun to go to
207-20,207,20,the hydrant with the bent hose didn't work
207-9,207,9,the butler near the selfish millionaire didn't like his money
207-16,207,16,the eraser for the novelty pencils didn't erase well
207-5,207,5,the tent near the sturdy poles wouldn't stand up straight
207-11,207,11,the banana for the popular sandwiches was all out
207-19,207,19,the resort with the elongated pool was picturesque
207-8,207,8,the fortress near the ancient wall was struck down
207-1,207,1,the envelope by the photo album contained money
207-2,207,2,the cake by the candy figurine disappeared quickly
207-6,207,6,the dam by the murky rivers was not doing it's job
207-13,207,13,the bicycle with the warped basket was found on the side of the street
207-14,207,14,the caddy for the charismatic celebrity was not doing well
207-24,207,24,the camera by the special manuals was missing
207-18,207,18,the field for the antique chairs was missing
207-3,207,3,the hammer by the rigerd(sic) prey(sic) was um was broken
207-17,207,17,the waitress for the impatient diners was fed up
207-10,207,10,the vase with the vibrant covers was missing
207-4,207,4,the coach near the disciplined athletes was very grateful for his dit-his disciplined athletes
207-22,207,22,the trainer near the confident actors was confident
207-7,207,7,the necklace near the colorful diamond disappeared
207-23,207,23,the canoe near the weathered flags was had a hole in it
208-18,208,18,the table from the antique lamp uh turned on
208-22,208,22,the trainer for the confident boxer pushed him harder
208-13,208,13,bicycle with the warped baskets …were broken
208-20,208,20,the hydrant with the bent hoses sprayed water
208-23,208,23,the canoe with the weathered oar couldn't work
208-11,208,11,the banana near the popular sundae was good
208-10,208,10,the vase near the vibrant…X
208-12,208,12,the bodyguard near the nervous actress protected her with his life
208-2,208,2,the cake by the candy figurines was delicious
208-19,208,19,the resort with the elongated pools was cool
208-7,208,7,necklace near the colorful diamonds was beautiful 
208-14,208,14,the caddy for the charismatic celebrities was a young man
208-24,208,24,the camera with the special lens took great pictures
208-15,208,15,the church with the giant driveways was convenient for people to park on
208-17,208,17,the waitress for the impatient senior gave up on taking his order
208-9,208,9,the butler near the selfish millionaires decided to quit
208-1,208,1,the envelope by the photo albums was orange
208-5,208,5,the tent near the sturdy cushion was huge
208-8,208,8,the fortress near the ancient walls was huge
208-4,208,4,the coach n…X
208-6,208,6,the dam by the musty factory was broken down
208-3,208,3,the hammer by the rigid pegs was sturdy
208-21,208,21,the guitar with the faulty strings didn't play well
208-16,208,16,the eraser for the novelty pen was good
209-4,209,4,the coach near the disruptive teenagers yelled
209-5,209,5,the tent near the sturdy cushions fell
209-14,209,14,the caddy near the charismatic golfer yelled
209-13,209,13,the bicycle ne…X
209-23,209,23,the canoe with the weathered oars sunk
209-20,209,20,the hydrant with the bright reflector shone
209-12,209,12,the bodyguard near the nervous actresses guarded
209-22,209,22,the trainer from th-or the confident boxers trained
209-11,209,11,the banana near the popular sundaes was eaten
209-7,209,7,the necklace near the colorful feather was stolen
209-9,209,9,the butler near the spoiled kid fell
209-3,209,3,the hammer for the rusty nail broke
209-10,209,10,the vase near the vibrant flowers cracked
209-19,209,19,the resort with the elaborate garden is expensive
209-18,209,18,the table for the antique lamps is old
209-6,209,6,the dam by the musty factories has beavers
209-15,209,15,the church near the giant cross is old
209-21,209,21,the guitar with the faulty pedal sounded bad
209-8,209,8,the fortresses near the ancient farm were old
209-24,209,24,the camera with the special lenses is new
209-1,209,1,the envelope for the formal letter was also formal
209-2,209,2,the cake with the colored candle was yummy
209-17,209,17,the waitresses for the impatient seniors was not nice
209-16,209,16,the eraser for the novelty pens was ugly
210-3,210,3,the hammer for the rusty nails wasn't working
210-18,210,18,the table by the antique chair was really pretty
210-24,210,24,the camera with the special manual…X
210-11,210,11,the banana near the popular …X
210-12,210,12,the bodyguard near…X
210-8,210,8,the fortress …X
210-16,210,16,the eraser near the novelty pencil was broken
210-7,210,7,the necklace near the colorful …X
210-13,210,13,the bicycle by the warped tires …X
210-2,210,2,the cake with the colored candles was for his sixth birthday
210-19,210,19,the resort with the elaborate gardens was where we were staying for our vacation
210-17,210,17,the waitress by the impatient diner quit
210-23,210,23,the canoe with the weathered flag…X
210-20,210,20,the hydrant with the bright …X
210-21,210,21,the guitar with the faulty…X
210-9,210,9,the …X
210-10,210,10,the vase near the vibrant…X
210-22,210,22,the trainer for the confident…X
210-5,210,5,the tent with the sturdy pole fell down
210-6,210,6,the dam for the murky river …X
210-14,210,14,the caddy near the …X
210-15,210,15,the church near the gri-giant cross is very pretty
210-1,210,1,the envelope for the formal letters were running out
210-4,210,4,the coach for the disciplined athlete was very proud
211-12,211,12,the bo…X
211-2,211,2,the cake with the candy figurine was good
211-16,211,16,the eraser near novelty pencils…X
211-21,211,21,the guitar near the fa…X
211-18,211,18,the table by the antique chairs was old
211-17,211,17,the waitress by the impatient doors…X
211-19,211,19,the resort near the elongated pool was very nice
211-22,211,22,the trainer for the con…X
211-14,211,14,the candy near the…X
211-4,211,4,the coach for the disciplined athletes…X
211-11,211,11,the banana near the popular sandwiches is with peanut butter
211-9,211,9,the butter for the sel…X
